calorific_value,nitrogen,turbidity,style,alcohol,sugars,bitterness,beer_id,colour,degree_of_fermentation
41.72123894,0.503275756,2.628181818,ale,4.015384615,16.73,10.45278947,93,13.44,55.33714286
42.42920354,0.52551218,1.776363636,ale,4.092307692,16.72,10.99952632,103,12.24,58.38
45.88053097,0.443232788,2.628181818,ale,4.276923077,16.68,13.45636842,178,10.92,58.38285714
45.30530973,0.471667792,1.806363636,ale,4.126153846,18.84,9.202736842,166,10.92,58.52571429
38.97787611,0.392845762,2.272727273,ale,4.015384615,16.77,9.457894737,44,10.56,58.9
41.1460177,0.396443611,0.885454545,ale,4.021538462,16.5,13.02610526,78,14.16,59.41428571
45.39380531,0.466171648,1.980909091,ale,4.563076923,16.64,11.44852632,170,12.96,60.01857143
38.2699115,0.472478164,2.099090909,ale,4.313846154,16.68,12.32826316,31,12.48,60.35571429
43.53539823,0.435870902,1.342727273,ale,4.061538462,16.78,10.81915789,122,12.6,60.46571429
42.29646018,0.250667315,1.019090909,lager,3.806153846,15.94,2.924894737,101,12.6,37.03428571
44.86283186,0.185199475,2.102727273,lager,4.009230769,15.9,6.608789474,155,14.28,46.39857143
40.88053097,0.264555015,1.06,lager,3.716923077,17.08,7.411210526,69,15.24,47.32857143
40.52654867,0.237383712,1.767272727,lager,4.033846154,16.01,13.27905263,64,13.44,48.32857143
41.27876106,0.31818079,1.366363636,lager,3.756923077,16.19,8.915368421,81,15.36,50.07857143
42.5619469,0.238442508,0.774545455,lager,3.526153846,18.74,8.155894737,107,9,51.59714286
41.58849558,0.211766681,1.461818182,lager,3.587692308,16.88,5.340684211,89,14.76,52.15428571
39.24336283,0.156837113,0.689090909,lager,3.636923077,16.72,6.820842105,46,11.28,53.18857143
45.0840708,0.298799689,1.331818182,lager,4.206153846,16.25,10.28584211,162,14.76,53.38285714
43.97787611,0.271177799,1.419090909,lager,3.849230769,16.73,9.530947368,131,12.48,53.57428571
37.65044248,0.244681179,2.413636364,stout,3.870769231,16.29,3.219052632,13,6.96,57.21428571
38.62389381,0.293868922,3.001818182,stout,3.876923077,17.46,2.730210526,37,8.76,60.37142857
37.42920354,0.359055102,1.194545455,stout,4.049230769,18.57,4.336578947,9,7.2,60.70714286
44.59734513,0.394747482,2.485454545,stout,3.769230769,18.88,4.523263158,149,7.8,60.88571429
41.01327434,0.267123194,2.012727273,stout,4.150769231,18.59,6.593263158,75,9.72,61.93
44.02212389,0.169803078,1.311818182,stout,4.270769231,20.04,6.159263158,135,6.96,62.03857143
43.04867257,0.2685709,3.980909091,stout,3.944615385,18.37,7.098631579,115,8.64,62.47142857
43.93362832,0.254582118,2.451818182,stout,3.849230769,16.24,5.219052632,130,9,62.60714286
44.42035398,0.295698685,3.503636364,stout,4.24,17.76,7.318526316,142,8.4,62.61428571
38.35840708,0.282170771,4.255454545,stout,4.070769231,18.3,4.046684211,33,6.72,62.84571429